C_TICK_N C_S C C_ TO_CHAR(C_FLT_ST SUBST SL_LOCATION_NAME                                   C_TO_ SUBSTR(T.SL_LOC
EUKFG793 509 I EN 25/07/2021 16:00 15135 Cardiff (Castle)                                   57366 London

EUKFG875 509 I E9 05/08/2021 07:15 15255 Newport [S.Wales]                                  57366 London

EUKFG875 509 O E9 07/08/2021 12:30 57366 London                                             15255 Newport [S.Wale

EUKFG962 509 O EF 25/07/2021 16:30 57366 London                                             15035 Cardiff

EUKFH182 509 O EE 22/07/2021 15:30 57366 London                                             15035 Cardiff

EUKFH256 509 O EL 22/07/2021 18:30 57366 London                                             15035 Cardiff

EUKFH334 509 O EH 28/07/2021 17:30 57366 London                                             15255 Newport [S.Wale

EUKFH402 509 O EH 28/07/2021 17:30 57366 London                                             15255 Newport [S.Wale

EUKFH565 509 I E7 24/07/2021 06:10 15135 Cardiff (Castle)                                   57366 London

EUKFH565 509 O EE 27/07/2021 15:30 57366 London                                             15135 Cardiff (Castle

EUKFH613 509 O EH 21/07/2021 17:30 57366 London                                             15035 Cardiff

EUKFH635 509 I EC 20/07/2021 09:45 15035 Cardiff                                            57366 London

EUKFH635 509 O EH 21/07/2021 17:30 57366 London                                             15035 Cardiff

EUKFH690 509 O EI 25/07/2021 18:00 57366 London                                             15035 Cardiff

EUKFH890 509 O E3 21/07/2021 08:30 57366 London                                             15255 Newport [S.Wale

EUKFH939 509 O E9 26/07/2021 12:30 57366 London                                             15035 Cardiff

EUKFH939 509 I EK 27/07/2021 14:45 15035 Cardiff                                            57366 London

EUKFH998 509 I E6 26/07/2021 05:25 15035 Cardiff                                            57366 London

EUKFH998 509 O EJ 02/08/2021 18:00 57366 London                                             15035 Cardiff

EUKFJ007 509 O EB 05/09/2021 14:30 57366 London                                             15035 Cardiff

EUKFJ216 509 I EE 04/08/2021 11:45 15035 Cardiff                                            57366 London

EUKFJ216 509 O EA 06/08/2021 12:30 57366 London                                             15035 Cardiff

EUKFJ419 509 I EC 21/07/2021 09:45 15255 Newport [S.Wales]                                  57366 London

EUKFJ419 509 O EM 21/07/2021 20:30 57366 London                                             15255 Newport [S.Wale

EUKFJ444 509 I E9 28/07/2021 07:15 15135 Cardiff (Castle)                                   57366 London

EUKFJ444 509 O EH 29/07/2021 17:30 57366 London                                             15135 Cardiff (Castle

EUKFJ516 509 I E5 05/08/2021 04:55 15255 Newport [S.Wales]                                  57366 London

EUKFJ516 509 O EG 09/08/2021 16:30 57366 London                                             15255 Newport [S.Wale

EUKFJ519 509 O E4 12/09/2021 10:30 57366 London                                             15035 Cardiff

